[0520/152926.712:ERROR:simple_version_upgrade.cc(152)] Failed to write a new fake index.
[0520/152926.810:ERROR:cache_util_win.cc(20)] Unable to move the cache: Access is denied. (0x5)
[0520/152926.811:ERROR:disk_cache.cc(205)] Unable to create cache
[0520/152926.811:ERROR:gpu_disk_cache.cc(673)] Gpu Cache Creation failed: -2
[0520/152926.923:ERROR:cache_util_win.cc(20)] Unable to move the cache: Access is denied. (0x5)
[0520/152926.924:ERROR:disk_cache.cc(205)] Unable to create cache
[0520/152926.924:ERROR:gpu_disk_cache.cc(673)] Gpu Cache Creation failed: -2
[0520/152951.938:INFO:CONSOLE(7)] "Another connection wants to delete database 'wawc'. Closing db now to resume the delete request.", source: https://web.whatsapp.com/vendor1~app.0c8e960e5dfd7020f562.js (7)
[0520/152952.184:ERROR:quota_database.cc(939)] Could not open the quota database, resetting.
[0520/152957.459:ERROR:quota_database.cc(939)] Could not open the quota database, resetting.
[0520/153000.734:ERROR:quota_database.cc(941)] Failed to reset the quota database.
[0520/153000.734:ERROR:quota_database.cc(941)] Failed to reset the quota database.
[0520/153002.745:ERROR:sandbox_origin_database.cc(190)] SandboxOriginDatabase failed at: Init@storage\browser\file_system\sandbox_origin_database.cc:94 with error: IO error: E:\projects\messageSender\message\tokens\morpi-whatsapp\Default\File System\Origins/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
[0520/153002.745:WARNING:sandbox_origin_database.cc(106)] Attempting to repair SandboxOriginDatabase.
[0520/153007.107:WARNING:sandbox_origin_database.cc(140)] Failed to repair SandboxOriginDatabase.
[0520/153009.146:ERROR:sandbox_origin_database.cc(190)] SandboxOriginDatabase failed at: Init@storage\browser\file_system\sandbox_origin_database.cc:94 with error: IO error: E:\projects\messageSender\message\tokens\morpi-whatsapp\Default\File System\Origins/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
[0520/153009.147:WARNING:sandbox_origin_database.cc(106)] Attempting to repair SandboxOriginDatabase.
[0520/153013.422:WARNING:sandbox_origin_database.cc(140)] Failed to repair SandboxOriginDatabase.
[0520/153013.819:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153013.825:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153013.933:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153013.938:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153014.036:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153014.042:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153014.139:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153014.150:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153014.226:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153014.235:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153014.312:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153014.318:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153014.394:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153014.403:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153014.485:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153014.491:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153014.569:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153014.575:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153014.652:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153014.658:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153014.734:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153014.744:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153014.822:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153014.827:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153014.901:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153014.906:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153014.982:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153014.987:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153015.061:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153015.067:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153015.139:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153015.148:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153015.222:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153015.228:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153015.304:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153015.309:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153015.386:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153015.393:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153015.475:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153015.481:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153015.558:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153015.563:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153015.636:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153015.641:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153015.715:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153015.721:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153015.793:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153015.800:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153015.872:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153015.877:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
[0520/153015.950:INFO:CONSOLE(5)] "[object Event]", source: https://web.whatsapp.com/app.9e31a8725d9f2a90915f.js (5)
